"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1434915587977662467""",https://twitter.com/fonsh2305_/status/1434915587977662467,"06-Sep-2021 16:25:10","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,"🎲T to the K 🐘, BKPP, INTO1",English,"""2839734308""",F.,fonsh2305_,"""💚Kacha, 💛Sehun,💙PPKrit, bbilkin,                  
         💜Liuyu, ❤️HAN""",Non-Verified,https://twitter.com/fonsh2305_,346,547,"04-Oct-2014 06:43:44"
"""1434914369952010240""",https://twitter.com/NahanhE/status/1434914369952010240,"06-Sep-2021 16:20:19","""❤️🤷‍♀️💫💫💫💫💫 طاغيه انتي طاغيه شهالجمااااال 
#fahriyeevcen  #loreal https://t.co/2r4q1if11p""",Tweet,"""Twitter for iPhone""",0,0,Turkey,Arabic,"""2858995004""",N.E,NahanhE,"""""",Non-Verified,https://twitter.com/NahanhE,910,1,"17-Oct-2014 00:33:39"
"""1434914333797097483""",https://twitter.com/FonAeris/status/1434914333797097483,"06-Sep-2021 16:20:11","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,"The Netherlands",English,"""884035422925533184""","💮 forever your butterfly, that's okay🦋🐝",FonAeris,"""""",Non-Verified,https://twitter.com/FonAeris,291,157,"09-Jul-2017 13:04:04"
"""1434910643576967179""",https://twitter.com/chnann_/status/1434910643576967179,"06-Sep-2021 16:05:31","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,"♡ 𝕃𝕚𝕦𝕪𝕦ℕ𝕚𝕟𝕖–24081107 ♡",English,"""1095619931557617664""","🅽🅰🅽🅽 ૮₍⇀‸↼‶₎ა",chnann_,"""💙𝑳𝒊𝒖𝒀𝒖 | 🍓𝑵𝒊𝑵𝑬 | 🦋𝑩𝒐𝒀𝒖𝒂𝒏 | 🚀𝒁𝒉𝒐𝒖𝑲𝒆𝒀𝒖 #INTO1 OT11
เรือหลัก #หลิวอวี่นาย ☀🌻 ꒰#artworkINTO1 #AWchnann_ #revนอนอ꒱""",Non-Verified,https://twitter.com/chnann_,474,501,"13-Feb-2019 09:45:22"
"""1434909732922298371""",https://twitter.com/dundan_/status/1434909732922298371,"06-Sep-2021 16:01:54","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,Malaysia,English,"""1155784832619700226""",炖蛋🍀,dundan_,"""𝙋𝙧𝙖𝙘𝙩𝙞𝙘𝙚 𝙢𝙖𝙠𝙚𝙨 𝙥𝙚𝙧𝙛𝙚𝙘𝙩.🖌      
尤长靖      刘宇""",Non-Verified,https://twitter.com/dundan_,21,89,"29-Jul-2019 10:19:12"
"""1434901442641416195""",https://twitter.com/lorealpoland/status/1434901442641416195,"06-Sep-2021 15:28:57","""Średnio 100 kontroli jakości jest przeprowadzanych na tym samym produkcie L'Oréal w celu sprawdzenia jego skuteczności, jakości i bezpieczeństwa.🙌 #LOreal https://t.co/3t6PjScVk9""",Tweet,"""Twitter Web App""",0,0,"Warszawa, Mazowieckie",Polish,"""3526700722""","L'Oréal Polska",lorealpoland,"""L’Oréal dostarcza konsumentom na całym świecie innowacyjne produkty kosmetyczne. Przebadane pod względem jakości i skuteczności.""",Non-Verified,https://twitter.com/lorealpoland,459,541,"02-Sep-2015 20:11:41"
"""1434900428722950146""",https://twitter.com/Meli25173047/status/1434900428722950146,"06-Sep-2021 15:24:56","""RT @Fevcen_Ozcivit: Fahriye Evcen'den yeni paylaşımlar 🔥🔥❤ #fahriyeevcen #fahriyeevcenözçivit #lorealparis #loreal #alparslan #akçahatun #u…""",ReTweet,"""Twitter for Android""",5,0,,Turkish,"""1214583111301906432""",Meli,Meli25173047,"""""",Non-Verified,https://twitter.com/Meli25173047,7,24,"07-Jan-2020 16:23:14"
"""1434897664857055239""",https://twitter.com/nawakspectacle/status/1434897664857055239,"06-Sep-2021 15:13:57","""L'OREAL recherche un modèle femme entre 35 - 50 ans pour un tournage le 17 septembre
Cliquez pour en savoir plus👇
https://t.co/fhBNcJFUTQ

#tournage #nawakspectacle #recrutement #figurant #casting #nawakcasting #emploi #modele #acting #mannequin #mannequinat #tuto #video #loreal https://t.co/ci5Mkh3ECj""",Tweet,"""Twitter Web App""",0,0,France,French,"""1709968387""","Annonces emploi Spectacle",nawakspectacle,"""Réseau emploi des professionnels de l'audiovisuel et du Spectacle. Casting comédiens, artistes, techniciens et intermittents. Annonces en temps réel.""",Non-Verified,https://twitter.com/nawakspectacle,1016,20,"29-Aug-2013 12:46:14"
"""1434897485806243843""",https://twitter.com/laduan14/status/1434897485806243843,"06-Sep-2021 15:13:14","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,,English,"""1308633478666149890""","Jie Yi ♥♥ // INsider ♥Ot11♥ //",laduan14,"""Too cute to CARE🤪
UWMA♥
PerthSaint|Kaoearth|
4Pillars 
KePat|LiuyuNine|SantaRiki|Jiahyuan|Boyuan|LinmoAK|Mika
Room1002
bayi
INTO1💙INsider
OT11
SamYu BKPP
THE9""",Non-Verified,https://twitter.com/laduan14,72,383,"23-Sep-2020 05:05:23"
"""1434896334109102081""",https://twitter.com/jjellyloveu/status/1434896334109102081,"06-Sep-2021 15:08:39","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,"nhà bé vũ ",English,"""1230845762084298752""",25,jjellyloveu,"""刘宇 | tgcf | 188 | mdzs | đam mỹ""",Non-Verified,https://twitter.com/jjellyloveu,556,88,"21-Feb-2020 13:24:41"
